,Fete Juive,datetime
0,Pourim,2011-03-21
1,Pessah,2011-04-20
2,Chavouot,2011-06-09
3,Jeûne,2011-08-10
4,Roch,2011-09-30
5,Yom,2011-10-09
6,Soukkot,2011-10-14
7,Simhat,2011-10-22
8,Hanoukkah,2011-12-22
9,Pourim,2012-03-09
10,Pessah,2012-04-08
11,Chavouot,2012-05-28
12,Jeûne,2012-07-30
13,Roch,2012-09-18
14,Yom,2012-09-27
15,Soukkot,2012-10-02
16,Simhat,2012-10-10
17,Hanoukkah,2012-12-10
18,Pourim,2013-02-25
19,Pessah,2013-03-27
20,Chavouot,2013-05-16
21,Jeûne,2013-07-17
22,Roch,2013-09-06
23,Yom,2013-09-15
24,Soukkot,2013-09-20
25,Simhat,2013-09-28
26,Hanoukkah,2013-11-29
27,Pourim,2014-03-17
28,Pessah,2014-04-16
29,Chavouot,2014-06-05
30,Jeûne,2014-08-06
31,Roch,2014-09-26
32,Yom,2014-10-05
33,Soukkot,2014-10-10
34,Simhat,2014-10-18
35,Hanoukkah,2014-12-18
36,Pourim,2015-03-06
37,Pessah,2015-04-05
38,Chavouot,2015-05-25
39,Jeûne,2015-07-27
40,Roch,2015-09-15
41,Yom,2015-09-24
42,Soukkot,2015-09-29
43,Simhat,2015-10-07
44,Hanoukkah,2015-12-08
45,Pourim,2016-03-25
46,Pessah,2016-04-24
47,Chavouot,2016-06-13
48,Jeûne,2016-08-15
49,Roch,2016-10-04
50,Yom,2016-10-13
51,Soukkot,2016-10-18
52,Simhat,2016-10-26
53,Hanoukkah,2016-12-26
54,Pourim,2017-03-13
55,Pessah,2017-04-12
56,Chavouot,2017-06-01
57,Jeûne,2017-08-02
58,Roch,2017-09-22
59,Yom,2017-10-01
60,Soukkot,2017-10-06
61,Simhat,2017-10-14
62,Hanoukkah,2017-12-14
63,Pourim,2018-03-02
64,Pessah,2018-04-01
65,Chavouot,2018-05-21
66,Jeûne,2018-07-23
67,Roch,2018-09-11
68,Yom,2018-09-20
69,Soukkot,2018-09-25
70,Simhat,2018-10-03
71,Hanoukkah,2018-12-04
72,Pourim,2019-03-22
73,Pessah,2019-04-21
74,Chavouot,2019-06-10
75,Jeûne,2019-08-12
76,Roch,2019-10-01
77,Yom,2019-10-10
78,Soukkot,2019-10-15
79,Simhat,2019-10-23
80,Hanoukkah,2019-12-24
81,Pourim,2020-03-11
82,Pessah,2020-04-10
83,Chavouot,2020-05-30
84,Jeûne,2020-07-31
85,Roch,2020-09-20
86,Yom,2020-09-29
87,Soukkot,2020-10-04
88,Simhat,2020-10-12
89,Hanoukkah,2020-12-12
90,Pourim,2021-02-27
91,Pessah,2021-03-29
92,Chavouot,2021-05-18
93,Jeûne,2021-07-19
94,Roch,2021-09-08
95,Yom,2021-09-17
96,Soukkot,2021-09-22
97,Simhat,2021-09-30
98,Hanoukkah,2021-11-30
